VIN,Price,manufacturer,security_codes,model,engine,check_digit,model_year,plant_code,serial_number
1FTFW1ET5CKE12294,28400,1FT,F,W1E,T,5,C,K,E12294
1FTFX1EF8CKD03786,21900,1FT,F,X1E,F,8,C,K,D03786
3FAHP0JA7CR215357,12300,3FA,H,P0J,A,7,C,R,215357
3FA6P0HR7DR292945,11900,3FA,6,P0H,R,7,D,R,292945
1FTKR1AD2APA11970,6600,1FT,K,R1A,D,2,A,P,A11970
1FADP3F23DL301928,10100,1FA,D,P3F,2,3,D,L,301928
1FMCU9E75CKC34358,18300,1FM,C,U9E,7,5,C,K,C34358
1FADP3K28EL313516,10500,1FA,D,P3K,2,8,E,L,313516
1FTPW12576KC38243,6100,1FT,P,W12,5,7,6,K,C38243
1FAHP2F87DG185853,17250,1FA,H,P2F,8,7,D,G,185853
2FMGK5CC0CBD00826,23300,2FM,G,K5C,C,0,C,B,D00826
1FADP3F24EL296658,11900,1FA,D,P3F,2,4,E,L,296658
1FMCU0HX7DUB44707,18300,1FM,C,U0H,X,7,D,U,B44707
3FAHP08156R232040,2900,3FA,H,P08,1,5,6,R,232040
3FA6P0H77DR329362,11800,3FA,6,P0H,7,7,D,R,329362
2FMDK4KC8ABB63372,17400,2FM,D,K4K,C,8,A,B,B63372
1FTNE2EW5EDA10328,14300,1FT,N,E2E,W,5,E,D,A10328
1FTFW1ET5DFC72046,33500,1FT,F,W1E,T,5,D,F,C72046
1FMHK8D89CGA08181,20500,1FM,H,K8D,8,9,C,G,A08181
1FTRX18L3YNB31056,4400,1FT,R,X18,L,3,Y,N,B31056
3FA6P0H73DR354761,12900,3FA,6,P0H,7,3,D,R,354761
1FMCU0GX1DUA70492,14400,1FM,C,U0G,X,1,D,U,A70492
1FTYR14D78PA50084,6300,1FT,Y,R14,D,7,8,P,A50084
1FMCU0G97DUB27764,17900,1FM,C,U0G,9,7,D,U,B27764
1FTEW1C83AFC33638,14200,1FT,E,W1C,8,3,A,F,C33638
3FAHP0JA7CR354274,13700,3FA,H,P0J,A,7,C,R,354274
1FADP3F22EL273153,12400,1FA,D,P3F,2,2,E,L,273153
1FADP3F2XDL211272,10000,1FA,D,P3F,2,X,D,L,211272
1FAFP34NX5W276015,2900,1FA,F,P34,N,X,5,W,276015
3FAHP0JAXCR331975,14100,3FA,H,P0J,A,X,C,R,331975
1FAHP2E84DG140936,14600,1FA,H,P2E,8,4,D,G,140936
2FAHP74W83X210220,2900,2FA,H,P74,W,8,3,X,210220
2FTRF17W3YCA80355,2000,2FT,R,F17,W,3,Y,C,A80355
1FMCU9GX2DUB47360,14400,1FM,C,U9G,X,2,D,U,B47360
1FTFX1EF7BFA50001,22700,1FT,F,X1E,F,7,B,F,A50001
1FBSS3BL7DDA43104,18800,1FB,S,S3B,L,7,D,D,A43104
1FTRX12W26NB88395,8500,1FT,R,X12,W,2,6,N,B88395
1FMEU63E96UB30361,3500,1FM,E,U63,E,9,6,U,B30361
4F2CZ96156KM35729,6200,4F2,C,Z96,1,5,6,K,M35729
1FADP3E27EL194305,10100,1FA,D,P3E,2,7,E,L,194305
1FAHP2F86FG101069,21000,1FA,H,P2F,8,6,F,G,101069
2FMDA52266BA59003,2200,2FM,D,A52,2,6,6,B,A59003
1ZVBP8AM4D5257480,17800,1ZV,B,P8A,M,4,D,5,257480
1FMZU62E62UC89805,2700,1FM,Z,U62,E,6,2,U,C89805
3FAHP0JG5CR356271,9300,3FA,H,P0J,G,5,C,R,356271
2FMDK3GC3DBC88397,19700,2FM,D,K3G,C,3,D,B,C88397
1ZVBP8EM3C5273324,11400,1ZV,B,P8E,M,3,C,5,273324
3FA6P0RU9ER262527,21400,3FA,6,P0R,U,9,E,R,262527
1FMDK05196GA19929,2300,1FM,D,K05,1,9,6,G,A19929
1FTKR1AD2BPB00987,9000,1FT,K,R1A,D,2,B,P,B00987
1FTPW14594KB56332,8300,1FT,P,W14,5,9,4,K,B56332
1FTNE24W28DA09840,10300,1FT,N,E24,W,2,8,D,A09840
2FMDK3KC5DBB36161,22700,2FM,D,K3K,C,5,D,B,B36161
3FAHP07Z09R125537,6900,3FA,H,P07,Z,0,9,R,125537
1FMHK8D88BGA85753,23700,1FM,H,K8D,8,8,B,G,A85753
1FM5K7F86EGA60672,27000,1FM,5,K7F,8,6,E,G,A60672
1FTNE1EW0ADA63622,13400,1FT,N,E1E,W,0,A,D,A63622
1ZVFT80N675224475,8100,1ZV,F,T80,N,6,7,5,224475
1FMFK18507LA50203,7800,1FM,F,K18,5,0,7,L,A50203
1FTRW07313KD21768,12400,1FT,R,W07,3,1,3,K,D21768
1FAHP24146G176780,2000,1FA,H,P24,1,4,6,G,176780
3FA6P0H97ER358704,11500,3FA,6,P0H,9,7,E,R,358704
1FTXW4DR2AEA84520,12100,1FT,X,W4D,R,2,A,E,A84520
2FMDK3JC8BBB47380,11000,2FM,D,K3J,C,8,B,B,B47380
1FMCU0J95DUA10886,22700,1FM,C,U0J,9,5,D,U,A10886
2FMDK3JC0CBA22990,18500,2FM,D,K3J,C,0,C,B,A22990
1FMHK7D86CGA68297,26100,1FM,H,K7D,8,6,C,G,A68297
1FTFW1EF4EKE72032,28000,1FT,F,W1E,F,4,E,K,E72032
1ZVFT82H755119013,5300,1ZV,F,T82,H,7,5,5,119013
1FMFK15567LA61193,3900,1FM,F,K15,5,6,7,L,A61193
1FTFW1EFXEFA49951,27900,1FT,F,W1E,F,X,E,F,A49951
1FMPU18L8WLC11053,1600,1FM,P,U18,L,8,W,L,C11053
2FMDK4KC4EBA51125,26600,2FM,D,K4K,C,4,E,B,A51125
1FADP3F28EL158136,12100,1FA,D,P3F,2,8,E,L,158136
1FTFW1CT0BKD72563,19300,1FT,F,W1C,T,0,B,K,D72563
1FMCU0E76AKB88919,7100,1FM,C,U0E,7,6,A,K,B88919
2FMHK6C8XEBD10725,24200,2FM,H,K6C,8,X,E,B,D10725
2FMDK3J93CBA29257,19800,2FM,D,K3J,9,3,C,B,A29257
1FTZF1721YNA38841,1450,1FT,Z,F17,2,1,Y,N,A38841
1FTNX21L13ED54901,4400,1FT,N,X21,L,1,3,E,D54901
1FTFW1ETXBFC44949,23800,1FT,F,W1E,T,X,B,F,C44949
1FA6P0H76E5381392,14900,1FA,6,P0H,7,6,E,5,381392
2FMDK3GC1BBA59956,12300,2FM,D,K3G,C,1,B,B,A59956
1FT8W3BT2BEC24693,31800,1FT,8,W3B,T,2,B,E,C24693
1FMCU0GX1DUA37458,13500,1FM,C,U0G,X,1,D,U,A37458
1FMFK185X8LA28226,8900,1FM,F,K18,5,X,8,L,A28226
1ZVHT80N175345469,7500,1ZV,H,T80,N,1,7,5,345469
3FAHP0HA0CR169182,11600,3FA,H,P0H,A,0,C,R,169182
3FA6P0H72DR261682,10900,3FA,6,P0H,7,2,D,R,261682
3FAHP0JA6CR261925,10500,3FA,H,P0J,A,6,C,R,261925
2FMGK5BC0ABA14067,9400,2FM,G,K5B,C,0,A,B,A14067
1FTKR1ED2BPA08644,4900,1FT,K,R1E,D,2,B,P,A08644
1FTFW1CF9BKD40754,22500,1FT,F,W1C,F,9,B,K,D40754
1FAFP40432F123099,1600,1FA,F,P40,4,3,2,F,123099
1FAHP2F85EG179261,16900,1FA,H,P2F,8,5,E,G,179261
2FMHK6D88DBD29528,28900,2FM,H,K6D,8,8,D,B,D29528
3FADP4BJ6EM102911,8900,3FA,D,P4B,J,6,E,M,102911
1FTFW1EV5AFC93525,24400,1FT,F,W1E,V,5,A,F,C93525
1FTFW1EF5DFC25772,26600,1FT,F,W1E,F,5,D,F,C25772
1ZVBP8AMXC5269597,15300,1ZV,B,P8A,M,X,C,5,269597
1FMCU9GX3DUB97832,13700,1FM,C,U9G,X,3,D,U,B97832
1FTPW14V78KE84497,16100,1FT,P,W14,V,7,8,K,E84497
1FTSE34L18DB57654,10000,1FT,S,E34,L,1,8,D,B57654
1FTKR1AD9BPB01425,10400,1FT,K,R1A,D,9,B,P,B01425
1FADP3K26DL355343,7500,1FA,D,P3K,2,6,D,L,355343
1FAHP3F21CL155805,7200,1FA,H,P3F,2,1,C,L,155805
1FAHP3K2XCL116779,6200,1FA,H,P3K,2,X,C,L,116779
3FA6P0HR4DR196948,13700,3FA,6,P0H,R,4,D,R,196948
1FMYU92Z65KD12418,3800,1FM,Y,U92,Z,6,5,K,D12418
1FMJK1H55EEF44942,28500,1FM,J,K1H,5,5,E,E,F44942
3FAHP0GA5BR239923,10700,3FA,H,P0G,A,5,B,R,239923
1FTKR1AD6BPB01284,9600,1FT,K,R1A,D,6,B,P,B01284
1FMCU0G91DUC76316,13600,1FM,C,U0G,9,1,D,U,C76316
1FMHK8D8XCGA47166,23900,1FM,H,K8D,8,X,C,G,A47166
1FAHP3HN7AW259105,8400,1FA,H,P3H,N,7,A,W,259105
1FAHP35N29W256841,3100,1FA,H,P35,N,2,9,W,256841
1FM5K8F86DGB04660,28700,1FM,5,K8F,8,6,D,G,B04660
1FTFW1EF6DKF88072,35200,1FT,F,W1E,F,6,D,K,F88072
1FMCU041X8KC15949,7500,1FM,C,U04,1,X,8,K,C15949
1FMCU9J98EUA18468,18500,1FM,C,U9J,9,8,E,U,A18468
1FTYR10D18PA15482,6800,1FT,Y,R10,D,1,8,P,A15482
1FTDX1869VNA97947,1900,1FT,D,X18,6,9,V,N,A97947
1FMCU0HX1DUB53452,18300,1FM,C,U0H,X,1,D,U,B53452
1FAFP42X6YF275832,1000,1FA,F,P42,X,6,Y,F,275832
1ZVBP8EMXC5258707,17200,1ZV,B,P8E,M,X,C,5,258707
1FAHP3K26CL295046,10300,1FA,H,P3K,2,6,C,L,295046
1FTKR1AD7BPA99285,10100,1FT,K,R1A,D,7,B,P,A99285
1FMCU0HX4DUA11306,16800,1FM,C,U0H,X,4,D,U,A11306
2FMGK5C87DBD33643,24300,2FM,G,K5C,8,7,D,B,D33643
1FTNE2EW7EDA18818,19800,1FT,N,E2E,W,7,E,D,A18818
3FAHP0HA1CR174651,12800,3FA,H,P0H,A,1,C,R,174651
4F2CZ02Z78KM23530,2400,4F2,C,Z02,Z,7,8,K,M23530
1FMCU0GX4EUB85556,15400,1FM,C,U0G,X,4,E,U,B85556
1ZVBP8AM7E5291284,18900,1ZV,B,P8A,M,7,E,5,291284
1FTFW1EV7AFD27190,15000,1FT,F,W1E,V,7,A,F,D27190
3FA6P0H78DR155656,12200,3FA,6,P0H,7,8,D,R,155656
1FAFP24106G155271,1200,1FA,F,P24,1,0,6,G,155271
3FAHP0HA4CR253795,10600,3FA,H,P0H,A,4,C,R,253795
1FADP3F25EL235738,12500,1FA,D,P3F,2,5,E,L,235738
1FTPW14V48KC51077,9700,1FT,P,W14,V,4,8,K,C51077
1FM5K7F86FGA35045,30100,1FM,5,K7F,8,6,F,G,A35045
3FADP4BJ6BM115914,7100,3FA,D,P4B,J,6,B,M,115914
1FAHP2EW4BG173379,10900,1FA,H,P2E,W,4,B,G,173379
3FA6P0H75DR274894,13500,3FA,6,P0H,7,5,D,R,274894
3FADP4BJ0DM165131,10700,3FA,D,P4B,J,0,D,M,165131
1FMCU0D74CKC12722,13100,1FM,C,U0D,7,4,C,K,C12722
4F2YZ02ZX5KM56247,2500,4F2,Y,Z02,Z,X,5,K,M56247
1FAHP3M27CL191503,7600,1FA,H,P3M,2,7,C,L,191503
1FAFP45X21F199091,2800,1FA,F,P45,X,2,1,F,199091
3FAHP0HA0CR267239,11700,3FA,H,P0H,A,0,C,R,267239
3FADP4EJ0EM139996,10300,3FA,D,P4E,J,0,E,M,139996
1FMDU73E82ZC17750,2100,1FM,D,U73,E,8,2,Z,C17750
1FADP3K20EL145970,11900,1FA,D,P3K,2,0,E,L,145970
1ZVBP8AM2E5201393,17400,1ZV,B,P8A,M,2,E,5,201393
1FTPW14V99FA92972,12000,1FT,P,W14,V,9,9,F,A92972
3FAHP0JG5CR311959,8300,3FA,H,P0J,G,5,C,R,311959
3FADP4EJ0CM194607,7300,3FA,D,P4E,J,0,C,M,194607
3FADP4BJ4DM129684,7000,3FA,D,P4B,J,4,D,M,129684
1FM5K8D83DGB12962,17000,1FM,5,K8D,8,3,D,G,B12962
1FAHP3M23CL374865,9400,1FA,H,P3M,2,3,C,L,374865
1ZVBP8EM3D5272479,13800,1ZV,B,P8E,M,3,D,5,272479
1FMZU67E61UC13847,1850,1FM,Z,U67,E,6,1,U,C13847
3FAHP0JA2CR353341,9100,3FA,H,P0J,A,2,C,R,353341
1FAHP2E83DG174527,15600,1FA,H,P2E,8,3,D,G,174527
1FMCU9C75CKB34697,8700,1FM,C,U9C,7,5,C,K,B34697
1FTEW1CM3EFA32762,12100,1FT,E,W1C,M,3,E,F,A32762
1FTPW14V79FB00759,22000,1FT,P,W14,V,7,9,F,B00759
1FM5K8F82EGC59577,30500,1FM,5,K8F,8,2,E,G,C59577
1FAHP3M2XCL284158,10700,1FA,H,P3M,2,X,C,L,284158
3FAFP11392R182259,1000,3FA,F,P11,3,9,2,R,182259
1FADP3F25EL296345,12700,1FA,D,P3F,2,5,E,L,296345
1FAHP3F27CL188100,7500,1FA,H,P3F,2,7,C,L,188100
2FMGK5D87EBD09312,25100,2FM,G,K5D,8,7,E,B,D09312
1FTFW1CT2DFB77432,22000,1FT,F,W1C,T,2,D,F,B77432
1FTFW1ET7CFB43143,28500,1FT,F,W1E,T,7,C,F,B43143
2FMDK4JC0DBA96692,23100,2FM,D,K4J,C,0,D,B,A96692
3FA6P0HD0ER171728,13700,3FA,6,P0H,D,0,E,R,171728
4F2CZ02769KM05486,6200,4F2,C,Z02,7,6,9,K,M05486
