VIN,Price,manufacturer,security_codes,model,engine,check_digit,model_year,plant_code,serial_number
1FM5K7F85EGB25124,34200,1FM,5,K7F,8,5,E,G,B25124
1FAHP3H22CL424634,8900,1FA,H,P3H,2,2,C,L,424634
3FAHP0HA0BR269975,8800,3FA,H,P0H,A,0,B,R,269975
1FAHP3E26CL330034,10000,1FA,H,P3E,2,6,C,L,330034
1FTFX1ET3CFB40768,29700,1FT,F,X1E,T,3,C,F,B40768
1ZVFT80NX75344683,5600,1ZV,F,T80,N,X,7,5,344683
1FAHP2F8XEG106340,16000,1FA,H,P2F,8,X,E,G,106340
1FTPW14556FB62348,10300,1FT,P,W14,5,5,6,F,B62348
1FTFW1EF2BFC39013,23900,1FT,F,W1E,F,2,B,F,C39013
1FMCU9J9XEUA24093,21000,1FM,C,U9J,9,X,E,U,A24093
2FMDK4JC7EBA71869,22900,2FM,D,K4J,C,7,E,B,A71869
1FMCU0EG3CKC63546,16800,1FM,C,U0E,G,3,C,K,C63546
1FTRW14517FB27980,20000,1FT,R,W14,5,1,7,F,B27980
1FTFW1EF7CFA89756,18300,1FT,F,W1E,F,7,C,F,A89756
1FAHP2DW6BG173353,7800,1FA,H,P2D,W,6,B,G,173353
3FAFP373X2R227924,1600,3FA,F,P37,3,X,2,R,227924
1ZVBP8AM3D5273895,15800,1ZV,B,P8A,M,3,D,5,273895
2FMDK3GC7DBC48484,16100,2FM,D,K3G,C,7,D,B,C48484
1FTSW21P17EA57027,7500,1FT,S,W21,P,1,7,E,A57027
1FTSX2B59AEA69671,22500,1FT,S,X2B,5,9,A,E,A69671
1FTEW1CM3BFB23364,19000,1FT,E,W1C,M,3,B,F,B23364
1FTPX14535NB02988,9900,1FT,P,X14,5,3,5,N,B02988
1FTPW14V79FA02931,22900,1FT,P,W14,V,7,9,F,A02931
3FAHP0HAXBR203840,6800,3FA,H,P0H,A,X,B,R,203840
1ZVBP8EM1E5310499,12100,1ZV,B,P8E,M,1,E,5,310499
1FTFW1EF0DFC07034,25500,1FT,F,W1E,F,0,D,F,C07034
1FMCU9GX7DUC66179,16200,1FM,C,U9G,X,7,D,U,C66179
2FMDK4KC9DBC03012,19700,2FM,D,K4K,C,9,D,B,C03012
1FTLR1FE4BPA98567,7500,1FT,L,R1F,E,4,B,P,A98567
1FTFW1EF2CFB07984,28900,1FT,F,W1E,F,2,C,F,B07984
1FAHP2EW3BG146514,10100,1FA,H,P2E,W,3,B,G,146514
1FMEU74896UA59497,5700,1FM,E,U74,8,9,6,U,A59497
1FAFP4444WF172473,1000,1FA,F,P44,4,4,W,F,172473
3FADP4EJ3EM103042,10500,3FA,D,P4E,J,3,E,M,103042
1FAHP2EW1CG143659,15600,1FA,H,P2E,W,1,C,G,143659
1FBNE3BL8EDA82631,20200,1FB,N,E3B,L,8,E,D,A82631
3FAHP0HA9BR323158,6800,3FA,H,P0H,A,9,B,R,323158
1FAHP3FNXAW257366,7000,1FA,H,P3F,N,X,A,W,257366
1FTNW21P13EB56860,5500,1FT,N,W21,P,1,3,E,B56860
1FMCU9EG0CKB02818,19700,1FM,C,U9E,G,0,C,K,B02818
3FAHP0JA7BR123552,7400,3FA,H,P0J,A,7,B,R,123552
1FMHK8D81CGA77902,26000,1FM,H,K8D,8,1,C,G,A77902
3FA6P0HR8DR377728,13700,3FA,6,P0H,R,8,D,R,377728
1FBSS3BL9EDA64800,24400,1FB,S,S3B,L,9,E,D,A64800
2FMDK4KC3DBA44522,17250,2FM,D,K4K,C,3,D,B,A44522
1FMCU0G96DUA41734,12400,1FM,C,U0G,9,6,D,U,A41734
1FM5K8D8XDGC56914,27300,1FM,5,K8D,8,X,D,G,C56914
1ZVBP8EMXE5300120,14100,1ZV,B,P8E,M,X,E,5,300120
1FAHP2F83FG104785,22250,1FA,H,P2F,8,3,F,G,104785
1FTSE3EL0ADA44413,13500,1FT,S,E3E,L,0,A,D,A44413
1FAFP31N57W233628,3100,1FA,F,P31,N,5,7,W,233628
1FADP3F20EL302505,12300,1FA,D,P3F,2,0,E,L,302505
3FAHP0KC2BR285539,11900,3FA,H,P0K,C,2,B,R,285539
1FMCU0GX9DUD85024,17000,1FM,C,U0G,X,9,D,U,D85024
1FMCU0D79BKB79473,9500,1FM,C,U0D,7,9,B,K,B79473
1FMJK1J58EEF37672,27300,1FM,J,K1J,5,8,E,E,F37672
1FTRW08LX1KD66624,3200,1FT,R,W08,L,X,1,K,D66624
1FAFP55UX1G211848,1800,1FA,F,P55,U,X,1,G,211848
1FAHP2E81DG103102,11900,1FA,H,P2E,8,1,D,G,103102
3FAHP0JA9BR212605,11400,3FA,H,P0J,A,9,B,R,212605
1FMJU1K5XEEF46141,33200,1FM,J,U1K,5,X,E,E,F46141
1FAHP3HN6AW246412,5500,1FA,H,P3H,N,6,A,W,246412
1FTSW21R58ED14094,16300,1FT,S,W21,R,5,8,E,D14094
1FMHK7D87CGA95041,24800,1FM,H,K7D,8,7,C,G,A95041
1FTFW1ETXCFC62448,31500,1FT,F,W1E,T,X,C,F,C62448
1FAFP34N35W166732,1200,1FA,F,P34,N,3,5,W,166732
1FAFP34N17W106564,2000,1FA,F,P34,N,1,7,W,106564
1FMCU9HX4DUC22672,21500,1FM,C,U9H,X,4,D,U,C22672
2FMDK3GC2DBB09525,18900,2FM,D,K3G,C,2,D,B,B09525
2FMGK5DC3BBD04463,22500,2FM,G,K5D,C,3,B,B,D04463
1FMCU0DGXCKC58989,13000,1FM,C,U0D,G,X,C,K,C58989
1FTFW1ET2BFC96799,21800,1FT,F,W1E,T,2,B,F,C96799
1FDNE3BL1BDA10110,12000,1FD,N,E3B,L,1,B,D,A10110
1FTEX1EMXDFA32427,19800,1FT,E,X1E,M,X,D,F,A32427
1FAHP35N18W110090,4400,1FA,H,P35,N,1,8,W,110090
2FMDK4JC5DBB69636,23200,2FM,D,K4J,C,5,D,B,B69636
3FA6P0H97ER323614,15100,3FA,6,P0H,9,7,E,R,323614
1FAHP2E82DG183834,21400,1FA,H,P2E,8,2,D,G,183834
2FMDK3JC6BBA62781,14700,2FM,D,K3J,C,6,B,B,A62781
3FAHP07Z27R221781,2200,3FA,H,P07,Z,2,7,R,221781
1FTFW1CT0CFB51376,27000,1FT,F,W1C,T,0,C,F,B51376
1FMCU9J9XEUC24214,23900,1FM,C,U9J,9,X,E,U,C24214
2FMDK4KC6DBC38400,22300,2FM,D,K4K,C,6,D,B,C38400
1FMCU0GX5DUB62589,17000,1FM,C,U0G,X,5,D,U,B62589
3FAFP08136R103995,2300,3FA,F,P08,1,3,6,R,103995
3FAHP0HA4CR358837,9400,3FA,H,P0H,A,4,C,R,358837
1FMEU73E07UA94051,4800,1FM,E,U73,E,0,7,U,A94051
1FMCU9G90EUC46908,19300,1FM,C,U9G,9,0,E,U,C46908
1FTRX18L12NB08303,2600,1FT,R,X18,L,1,2,N,B08303
1FMCU0HX8DUD32930,19400,1FM,C,U0H,X,8,D,U,D32930
1FTFW1EV5AFB41048,24800,1FT,F,W1E,V,5,A,F,B41048
2FMDK4KC0EBA26691,24600,2FM,D,K4K,C,0,E,B,A26691
3FAHP0HA2BR173720,7400,3FA,H,P0H,A,2,B,R,173720
1FTKR1AD8APA06420,7200,1FT,K,R1A,D,8,A,P,A06420
1FTRX12W89KA68249,11000,1FT,R,X12,W,8,9,K,A68249
2FMDK3JC3CBA57488,19500,2FM,D,K3J,C,3,C,B,A57488
1FAHP2EW8AG136091,7000,1FA,H,P2E,W,8,A,G,136091
1FADP3F28DL373241,10400,1FA,D,P3F,2,8,D,L,373241
1FTSS34L76DA86191,6100,1FT,S,S34,L,7,6,D,A86191
1ZVBP8AM8E5234219,17800,1ZV,B,P8A,M,8,E,5,234219
1FAHP3K20CL198151,9200,1FA,H,P3K,2,0,C,L,198151
1FTFW1EF2DKE59830,33200,1FT,F,W1E,F,2,D,K,E59830
1FAHP2E94DG177896,15000,1FA,H,P2E,9,4,D,G,177896
1FMCU9HX6DUD17220,20800,1FM,C,U9H,X,6,D,U,D17220
1FTFW1EF2CFA44451,27900,1FT,F,W1E,F,2,C,F,A44451
1ZVBP8CFXC5262339,21400,1ZV,B,P8C,F,X,C,5,262339
1FAFP33P31W191840,1100,1FA,F,P33,P,3,1,W,191840
1FTNE24W18DB58482,6600,1FT,N,E24,W,1,8,D,B58482
2FMDK4KC2BBB50814,24000,2FM,D,K4K,C,2,B,B,B50814
1FTPW14566FA59634,8500,1FT,P,W14,5,6,6,F,A59634
1FMJU1H58CEF15393,19500,1FM,J,U1H,5,8,C,E,F15393
3FA6P0K91ER318224,20300,3FA,6,P0K,9,1,E,R,318224
1FTYR44U92TA44710,1100,1FT,Y,R44,U,9,2,T,A44710
1FAHP2E84DG141455,13100,1FA,H,P2E,8,4,D,G,141455
1FAHP2E80DG156423,12900,1FA,H,P2E,8,0,D,G,156423
3FAHP0HA8CR161525,10400,3FA,H,P0H,A,8,C,R,161525
1ZVBP8AM5E5229737,17800,1ZV,B,P8A,M,5,E,5,229737
1FTEW1CMXBKD09894,12500,1FT,E,W1C,M,X,B,K,D09894
1ZVBP8FF9E5300478,24700,1ZV,B,P8F,F,9,E,5,300478
1FMCU0DG0CKB32818,8800,1FM,C,U0D,G,0,C,K,B32818
1FTSE34L29DA20756,9200,1FT,S,E34,L,2,9,D,A20756
3FA6P0H77ER228677,15700,3FA,6,P0H,7,7,E,R,228677
1FTFX1EF0DKD35150,24400,1FT,F,X1E,F,0,D,K,D35150
1FMHK8D85CGA92208,25600,1FM,H,K8D,8,5,C,G,A92208
2FAFP71W76X149295,1500,2FA,F,P71,W,7,6,X,149295
1FADP3K29EL317526,10700,1FA,D,P3K,2,9,E,L,317526
1FAHP3F24CL299106,9900,1FA,H,P3F,2,4,C,L,299106
2FMDK49C67BB35911,11100,2FM,D,K49,C,6,7,B,B35911
1FTFW1CT5BKE18078,27300,1FT,F,W1C,T,5,B,K,E18078
1FMCU94188KE78929,8100,1FM,C,U94,1,8,8,K,E78929
1FTNE2EW2EDA31556,19600,1FT,N,E2E,W,2,E,D,A31556
1FTYR15EX5PA33623,9600,1FT,Y,R15,E,X,5,P,A33623
1FTFW1EF9BFA51802,23200,1FT,F,W1E,F,9,B,F,A51802
1FMZU74WX3UA76031,2900,1FM,Z,U74,W,X,3,U,A76031
1FTFW1CT8BFA55655,19400,1FT,F,W1C,T,8,B,F,A55655
1FMZU34E3XUB77093,2000,1FM,Z,U34,E,3,X,U,B77093
1FMCU0F73DUD72688,11100,1FM,C,U0F,7,3,D,U,D72688
3FA6P0H94ER320248,13200,3FA,6,P0H,9,4,E,R,320248
1FMJU1K58BEF26305,17500,1FM,J,U1K,5,8,B,E,F26305
1FADP3K20EL145841,11400,1FA,D,P3K,2,0,E,L,145841
1FTFW1EF1BKE21826,23300,1FT,F,W1E,F,1,B,K,E21826
1ZVBP8CF6E5242558,25500,1ZV,B,P8C,F,6,E,5,242558
1FTFX1EF7DFC43526,24300,1FT,F,X1E,F,7,D,F,C43526
1FMYU01132KA80587,1150,1FM,Y,U01,1,3,2,K,A80587
1FTPX14544NC06307,8700,1FT,P,X14,5,4,4,N,C06307
1ZVBP8EM5D5276341,11600,1ZV,B,P8E,M,5,D,5,276341
1FADP3F20DL274557,11700,1FA,D,P3F,2,0,D,L,274557
1FTKR1AD6BPA69517,10200,1FT,K,R1A,D,6,B,P,A69517
1FMEU74E88UA11224,9300,1FM,E,U74,E,8,8,U,A11224
3FA6P0H73ER259280,13400,3FA,6,P0H,7,3,E,R,259280
3FAHP0HA2CR317624,7400,3FA,H,P0H,A,2,C,R,317624
1FTFX1ETXDFC21817,24300,1FT,F,X1E,T,X,D,F,C21817
1FTYR14U58PA41514,4100,1FT,Y,R14,U,5,8,P,A41514
2FMDK49C68BB03865,9000,2FM,D,K49,C,6,8,B,B03865
2FAFP74V87X150489,2700,2FA,F,P74,V,8,7,X,150489
1FADP3F28EL303031,13300,1FA,D,P3F,2,8,E,L,303031
1FTFW1ET9CFA14000,20900,1FT,F,W1E,T,9,C,F,A14000
3FA6P0HR3DR114529,13500,3FA,6,P0H,R,3,D,R,114529
1FMRU15W22LA65329,1100,1FM,R,U15,W,2,2,L,A65329
1FTFW1EF2BFA18544,19900,1FT,F,W1E,F,2,B,F,A18544
1FTEW1C85AKA66805,13600,1FT,E,W1C,8,5,A,K,A66805
1FTNE2EW4EDA09574,22900,1FT,N,E2E,W,4,E,D,A09574
1FMCU0H9XDUD93133,17300,1FM,C,U0H,9,X,D,U,D93133
3FA6P0H75DR280209,8300,3FA,6,P0H,7,5,D,R,280209
1FMYU03167KA23496,3000,1FM,Y,U03,1,6,7,K,A23496
1FMJU1K57DEF08851,34400,1FM,J,U1K,5,7,D,E,F08851
1FTPW14V69KB52293,21000,1FT,P,W14,V,6,9,K,B52293
3FA6P0D96DR359380,21100,3FA,6,P0D,9,6,D,R,359380
2FMDK48C77BA90351,9100,2FM,D,K48,C,7,7,B,A90351
1FTFW1ET7BFA64926,22300,1FT,F,W1E,T,7,B,F,A64926
1FTEW1CW6AFA96077,13000,1FT,E,W1C,W,6,A,F,A96077
1FTSW31F2YEE32003,12900,1FT,S,W31,F,2,Y,E,E32003
1FMJK2A51CEF29111,21700,1FM,J,K2A,5,1,C,E,F29111
1FMZU72K43UA52825,1600,1FM,Z,U72,K,4,3,U,A52825
1FTRX17W63NA10266,1600,1FT,R,X17,W,6,3,N,A10266
2FMDK39C57BB43976,8500,2FM,D,K39,C,5,7,B,B43976
1FM5K8D85DGA33826,19300,1FM,5,K8D,8,5,D,G,A33826
1FBNE3BL1EDA14994,18700,1FB,N,E3B,L,1,E,D,A14994
1FTNF1CF2EKD63616,19200,1FT,N,F1C,F,2,E,K,D63616
1ZVBP8AM6E5240343,18100,1ZV,B,P8A,M,6,E,5,240343
1FMCU0C71AKB88037,8500,1FM,C,U0C,7,1,A,K,B88037
3FA6P0H9XER301767,16300,3FA,6,P0H,9,X,E,R,301767
3FA6P0K92ER262374,18800,3FA,6,P0K,9,2,E,R,262374
3FAHP0HAXCR445206,10600,3FA,H,P0H,A,X,C,R,445206
3FA6P0HRXDR222663,11500,3FA,6,P0H,R,X,D,R,222663
1FTFX1EF8DFC55975,27300,1FT,F,X1E,F,8,D,F,C55975
3FA6P0SU6DR332008,10000,3FA,6,P0S,U,6,D,R,332008
2FMDK4KC7DBC22349,18800,2FM,D,K4K,C,7,D,B,C22349
3FA6P0HR4DR305490,15000,3FA,6,P0H,R,4,D,R,305490
1FADP3K23EL185654,10100,1FA,D,P3K,2,3,E,L,185654
1FTWW33P96EA08578,18800,1FT,W,W33,P,9,6,E,A08578
1FTFW1CV7AKE09074,16000,1FT,F,W1C,V,7,A,K,E09074
1FMCU9DG1AKC20973,8300,1FM,C,U9D,G,1,A,K,C20973
1FTFW1EVXAFA23352,25000,1FT,F,W1E,V,X,A,F,A23352
2FMEK62C59BA24506,13000,2FM,E,K62,C,5,9,B,A24506
2FMGK5C80DBD31362,23700,2FM,G,K5C,8,0,D,B,D31362
3FADP4BJ2BM162003,8200,3FA,D,P4B,J,2,B,M,162003
1ZVBP8AMXD5216903,14500,1ZV,B,P8A,M,X,D,5,216903
3FA6P0H97ER340378,14900,3FA,6,P0H,9,7,E,R,340378
1FADP3F26DL212791,9300,1FA,D,P3F,2,6,D,L,212791
2FMZA51413BA82533,1200,2FM,Z,A51,4,1,3,B,A82533
1ZVBP8EM3E5238527,18600,1ZV,B,P8E,M,3,E,5,238527
1FAHP35N69W224085,7000,1FA,H,P35,N,6,9,W,224085
1FMCU0EG5CKC51253,17200,1FM,C,U0E,G,5,C,K,C51253
1FM5K7D82DGB76873,24500,1FM,5,K7D,8,2,D,G,B76873
1FMCU9J94DUC02126,16100,1FM,C,U9J,9,4,D,U,C02126
1FAHP2FW6AG165183,12900,1FA,H,P2F,W,6,A,G,165183
1FM5K8F85EGC48847,30200,1FM,5,K8F,8,5,E,G,C48847
1FMZU73K83ZA72058,4100,1FM,Z,U73,K,8,3,Z,A72058
1FAHP3H20CL252622,6500,1FA,H,P3H,2,0,C,L,252622
3FAHP0JA5CR290610,9600,3FA,H,P0J,A,5,C,R,290610
1FM5K8F89EGA14744,26700,1FM,5,K8F,8,9,E,G,A14744
1FMJK2A52BEF56302,17900,1FM,J,K2A,5,2,B,E,F56302
1FMEU63E17UB47673,7000,1FM,E,U63,E,1,7,U,B47673
1FTFW1EF9EFB18712,26000,1FT,F,W1E,F,9,E,F,B18712
3FADP4EJ7EM111869,10100,3FA,D,P4E,J,7,E,M,111869
1FM5K8F86FGA04089,34000,1FM,5,K8F,8,6,F,G,A04089
1FM5K8D89DGC15450,21001,1FM,5,K8D,8,9,D,G,C15450
2FTRX18WX4CA50758,4900,2FT,R,X18,W,X,4,C,A50758
1FTFX1EF4CFA33206,24400,1FT,F,X1E,F,4,C,F,A33206
1FMCU041X1KA73351,1150,1FM,C,U04,1,X,1,K,A73351
1FMCU9HX2DUA60363,16100,1FM,C,U9H,X,2,D,U,A60363
1ZVBP8EM8E5220010,13100,1ZV,B,P8E,M,8,E,5,220010
1FTNE2EW1EDA10231,21800,1FT,N,E2E,W,1,E,D,A10231
1FMCU0GX8EUC24441,15800,1FM,C,U0G,X,8,E,U,C24441
1FMJK1K55CEF27421,27600,1FM,J,K1K,5,5,C,E,F27421
2FMDK4KC0BBB12594,15500,2FM,D,K4K,C,0,B,B,B12594
1FMCU9EG2CKB16719,15700,1FM,C,U9E,G,2,C,K,B16719
3FA6P0K92DR176271,20200,3FA,6,P0K,9,2,D,R,176271
1FMCU0GX2DUD32794,15600,1FM,C,U0G,X,2,D,U,D32794
3FA6P0H71DR140612,13300,3FA,6,P0H,7,1,D,R,140612
1FMCU9E73CKC53667,17300,1FM,C,U9E,7,3,C,K,C53667
1FTNE1EW9EDA35291,19400,1FT,N,E1E,W,9,E,D,A35291
1FMZU73K64UA11077,4100,1FM,Z,U73,K,6,4,U,A11077
1FAHP34NX7W214125,2200,1FA,H,P34,N,X,7,W,214125
1FADP3F21EL307065,13400,1FA,D,P3F,2,1,E,L,307065
1FMFU18587LA35250,9400,1FM,F,U18,5,8,7,L,A35250
1FMCU9J98EUD19015,21200,1FM,C,U9J,9,8,E,U,D19015
1FM5K8GT8FGB53221,36500,1FM,5,K8G,T,8,F,G,B53221
1FTPW14V96KC79583,12100,1FT,P,W14,V,9,6,K,C79583
1FAHP24WX9G109763,6700,1FA,H,P24,W,X,9,G,109763
1FBNE3BL9EDB06631,20500,1FB,N,E3B,L,9,E,D,B06631
1FADP3K24DL259646,11000,1FA,D,P3K,2,4,D,L,259646
3FA6P0H94ER308777,18200,3FA,6,P0H,9,4,E,R,308777
1FTFW1EFXBFC61535,12600,1FT,F,W1E,F,X,B,F,C61535
1FMCU93749KA08467,6900,1FM,C,U93,7,4,9,K,A08467
1FMHK7D83CGA39078,21700,1FM,H,K7D,8,3,C,G,A39078
1FTFW1EF3DFB99527,23900,1FT,F,W1E,F,3,D,F,B99527
1FAHP3F20CL270850,10400,1FA,H,P3F,2,0,C,L,270850
1FADP3F23DL211534,9500,1FA,D,P3F,2,3,D,L,211534
1FTNE1EW8EDA21463,20800,1FT,N,E1E,W,8,E,D,A21463
3FA6P0K9XER301714,19500,3FA,6,P0K,9,X,E,R,301714
3FAHP0HAXCR145844,9600,3FA,H,P0H,A,X,C,R,145844
1FBSS3BL2ADA00883,16000,1FB,S,S3B,L,2,A,D,A00883
3FADP4BJ6CM176195,9450,3FA,D,P4B,J,6,C,M,176195
1FTFW1EFXCFA76810,18000,1FT,F,W1E,F,X,C,F,A76810
1FBNE3BL3EDA82584,19300,1FB,N,E3B,L,3,E,D,A82584
3FA6P0H91DR305608,15900,3FA,6,P0H,9,1,D,R,305608
1FM5K8F82DGC53700,26000,1FM,5,K8F,8,2,D,G,C53700
1FTFW1EF3CKD63820,25900,1FT,F,W1E,F,3,C,K,D63820
2FMDK36C37BB26064,5800,2FM,D,K36,C,3,7,B,B26064
1FTNE1EW6ADA92929,6300,1FT,N,E1E,W,6,A,D,A92929
1FAFP56U57A191941,1700,1FA,F,P56,U,5,7,A,191941
1FMCU9EG0AKB12200,13900,1FM,C,U9E,G,0,A,K,B12200
1FBSS3BL1BDA33472,17300,1FB,S,S3B,L,1,B,D,A33472
1FTNE2EW9EDA80494,19600,1FT,N,E2E,W,9,E,D,A80494
1FMCU93168KA84184,5700,1FM,C,U93,1,6,8,K,A84184
1FTYR2CM3FKA15950,24900,1FT,Y,R2C,M,3,F,K,A15950
1FTSE34L44HB14588,2800,1FT,S,E34,L,4,4,H,B14588
3FA6P0H73DR364786,9500,3FA,6,P0H,7,3,D,R,364786
1FMEU73896UA06171,8200,1FM,E,U73,8,9,6,U,A06171
1FMCU9H94DUA74556,14200,1FM,C,U9H,9,4,D,U,A74556
1FTRF12296NA80758,7000,1FT,R,F12,2,9,6,N,A80758
1FMCU9GX7DUB32594,13200,1FM,C,U9G,X,7,D,U,B32594
1FT7X2B6XBEB00362,9000,1FT,7,X2B,6,X,B,E,B00362
2FMDK4KC9DBC07108,19800,2FM,D,K4K,C,9,D,B,C07108
1FMCU9J94EUB86365,19000,1FM,C,U9J,9,4,E,U,B86365
1ZVBP8EM8E5289599,15500,1ZV,B,P8E,M,8,E,5,289599
1FMCU0J94EUD38947,21200,1FM,C,U0J,9,4,E,U,D38947
1FADP3F27DL343602,9000,1FA,D,P3F,2,7,D,L,343602
1FMDU64E92UA86107,2900,1FM,D,U64,E,9,2,U,A86107
2FMDK3JC9DBB65180,23300,2FM,D,K3J,C,9,D,B,B65180
2FMDK3JC9DBA07759,17400,2FM,D,K3J,C,9,D,B,A07759
1FAHP3F23CL363104,7400,1FA,H,P3F,2,3,C,L,363104
1FMCU9HX9DUB23944,18300,1FM,C,U9H,X,9,D,U,B23944
1FADP3F29DL289414,10900,1FA,D,P3F,2,9,D,L,289414
1FMCU0HX9DUB93875,19700,1FM,C,U0H,X,9,D,U,B93875
1FMEU64E36UB25333,2500,1FM,E,U64,E,3,6,U,B25333
1FAFP25187G105850,2500,1FA,F,P25,1,8,7,G,105850
1FTNE2EW5CDA45254,12500,1FT,N,E2E,W,5,C,D,A45254
1FTRX14W56FA10374,10200,1FT,R,X14,W,5,6,F,A10374
1FMHK7D80CGA85371,17400,1FM,H,K7D,8,0,C,G,A85371
1FMCU93Z58KA70685,4000,1FM,C,U93,Z,5,8,K,A70685
1FMCU0GX2EUC24788,15800,1FM,C,U0G,X,2,E,U,C24788
1ZVBP8EM7D5216884,11300,1ZV,B,P8E,M,7,D,5,216884
1FMCU0HX4DUC53514,21300,1FM,C,U0H,X,4,D,U,C53514
3FAHP0HA4CR417708,9800,3FA,H,P0H,A,4,C,R,417708
3FADP4EJ7EM147657,11700,3FA,D,P4E,J,7,E,M,147657
1FMHK8F85BGA89773,20100,1FM,H,K8F,8,5,B,G,A89773
1FMZU73W44UA25708,4300,1FM,Z,U73,W,4,4,U,A25708
3FA6P0H93ER323240,15700,3FA,6,P0H,9,3,E,R,323240
1ZVFT80N255115606,6500,1ZV,F,T80,N,2,5,5,115606
1FTFW1ET2EFC35411,19800,1FT,F,W1E,T,2,E,F,C35411
3FAHP0HA0CR151989,10400,3FA,H,P0H,A,0,C,R,151989
1ZVBP8EM7E5205823,14000,1ZV,B,P8E,M,7,E,5,205823
1FADP3F27DL278749,7700,1FA,D,P3F,2,7,D,L,278749
1FM5K7D85DGB62336,24100,1FM,5,K7D,8,5,D,G,B62336
1FMCU0GX0DUA37368,15200,1FM,C,U0G,X,0,D,U,A37368
1FADP3F25DL204617,9500,1FA,D,P3F,2,5,D,L,204617
1FMCU9D76BKA93980,12250,1FM,C,U9D,7,6,B,K,A93980
1FTFW1ET2BFB12963,20500,1FT,F,W1E,T,2,B,F,B12963
2FMGK5CC4CBD14275,20000,2FM,G,K5C,C,4,C,B,D14275
1FTKR1AD2BPA99226,11300,1FT,K,R1A,D,2,B,P,A99226
1FAHP2DW3CG113211,11100,1FA,H,P2D,W,3,C,G,113211
2FAHP71V98X100778,1800,2FA,H,P71,V,9,8,X,100778
1FAHP35N49W138161,1700,1FA,H,P35,N,4,9,W,138161
1FAFP52283A163212,1400,1FA,F,P52,2,8,3,A,163212
1FTSS3EL9ADA46623,6250,1FT,S,S3E,L,9,A,D,A46623
1FMCU0DG0CKA67341,10800,1FM,C,U0D,G,0,C,K,A67341
1FMCU0F74DUA21689,9700,1FM,C,U0F,7,4,D,U,A21689
1FAHP2H82EG103946,18100,1FA,H,P2H,8,2,E,G,103946
1FMCU9DG2AKC76971,9800,1FM,C,U9D,G,2,A,K,C76971
3FADP4EJ6EM191391,11000,3FA,D,P4E,J,6,E,M,191391
1FBSS31L29DA91456,12700,1FB,S,S31,L,2,9,D,A91456
3FAHP0HA2CR351580,6700,3FA,H,P0H,A,2,C,R,351580
1FTFW1EV2AKE04068,27000,1FT,F,W1E,V,2,A,K,E04068
1FMCU0D74CKB71069,11400,1FM,C,U0D,7,4,C,K,B71069
1FADP3F2XEL288158,11700,1FA,D,P3F,2,X,E,L,288158
1FADP3K22EL333020,10600,1FA,D,P3K,2,2,E,L,333020
3FAHP0GA3AR271834,5000,3FA,H,P0G,A,3,A,R,271834
2FMDK3JC0DBB41060,21800,2FM,D,K3J,C,0,D,B,B41060
1FTEW1CM5DFB69104,23300,1FT,E,W1C,M,5,D,F,B69104
3FA6P0K93DR208001,17900,3FA,6,P0K,9,3,D,R,208001
1FAFP53245A264460,2000,1FA,F,P53,2,4,5,A,264460
1FTPW14V89FA09497,12700,1FT,P,W14,V,8,9,F,A09497
1FAHP24147G145191,1500,1FA,H,P24,1,4,7,G,145191
1FADP3K26DL209542,13000,1FA,D,P3K,2,6,D,L,209542
1FADP3F25EL144498,12400,1FA,D,P3F,2,5,E,L,144498
1FTNF1EF8CKD80396,19900,1FT,N,F1E,F,8,C,K,D80396
1ZVBP8EM5D5276419,11700,1ZV,B,P8E,M,5,D,5,276419
2FMDK3KC4DBA43552,19000,2FM,D,K3K,C,4,D,B,A43552
3FA6P0H99ER278885,13900,3FA,6,P0H,9,9,E,R,278885
2FMDK36C28BA08685,7400,2FM,D,K36,C,2,8,B,A08685
3FAHP08186R194206,1400,3FA,H,P08,1,8,6,R,194206
3FAHP0CG9BR156795,5300,3FA,H,P0C,G,9,B,R,156795
2FMDK3KC7BBA76817,16700,2FM,D,K3K,C,7,B,B,A76817
3FA6P0K90DR213530,18800,3FA,6,P0K,9,0,D,R,213530
2FMDK4JC8BBB64119,20100,2FM,D,K4J,C,8,B,B,B64119
1FTSW21P86EA57945,12500,1FT,S,W21,P,8,6,E,A57945
1FTFW1ET1CFB59533,26300,1FT,F,W1E,T,1,C,F,B59533
3FADP4EJ8CM181992,8600,3FA,D,P4E,J,8,C,M,181992
2FMDK3JC5DBA40743,21600,2FM,D,K3J,C,5,D,B,A40743
3FA6P0H98ER228799,17600,3FA,6,P0H,9,8,E,R,228799
1FAHP3N21CL257946,13900,1FA,H,P3N,2,1,C,L,257946
1FMCU0G9XDUC33528,18200,1FM,C,U0G,9,X,D,U,C33528
2FMDK4JC1CBA86302,16900,2FM,D,K4J,C,1,C,B,A86302
1FADP3F28EL230808,12500,1FA,D,P3F,2,8,E,L,230808
1FM5K7D83DGA76118,25200,1FM,5,K7D,8,3,D,G,A76118
1FAHP3H20CL334298,8700,1FA,H,P3H,2,0,C,L,334298
3FA6P0H75FR106174,19000,3FA,6,P0H,7,5,F,R,106174
1FTEX1C83AFA84662,16700,1FT,E,X1C,8,3,A,F,A84662
1ZVFT84N675359448,3200,1ZV,F,T84,N,6,7,5,359448
1FMCU9G96EUD59892,19600,1FM,C,U9G,9,6,E,U,D59892
3FA6P0H92ER360473,13200,3FA,6,P0H,9,2,E,R,360473
